Resort ID,Easy,Intermediate,Difficult
1,101.0,61.0,17.0
2,47.0,142.0,49.0
3,122.0,129.0,33.0
4,132.0,123.0,50.0
5,47.0,123.0,28.0
6,140.0,112.0,18.0
7,28.7,41.3,13.0
8,43.0,89.0,11.0
9,46.4,68.3,8.3
10,70.2,44.6,29.4
11,60.0,45.0,8.0
12,40.0,63.0,33.0
13,61.0,35.0,4.0
14,35.0,55.0,20.0
15,52.0,41.0,19.0
16,30.0,81.0,4.0
17,30.0,28.0,19.0
18,29.0,25.0,10.0
19,13.0,25.0,3.0
20,30.6,52.8,2.6
21,10.0,50.0,10.0
22,14.0,24.5,3.5
23,25.9,53.7,13.5
24,29.7,48.0,1.7
25,18.0,22.0,2.0
26,8.5,22.5,6.0
27,24.0,34.0,13.0
28,30.0,69.0,11.0
29,6.0,26.2,8.8
30,19.0,15.0,4.0
31,25.5,43.1,1.5
32,23.5,16.2,4.3
33,32.0,12.0,2.0
34,12.8,12.6,1.9
35,13.0,12.0,1.5
36,14.0,35.0,11.0
37,16.0,24.0,3.0
38,9.2,7.2,0.6
39,18.0,19.0,6.0
40,10.0,22.0,8.0
41,15.0,33.0,3.0
42,6.0,25.0,12.0
43,5.6,15.0,1.1
44,12.0,21.0,3.0
45,3.6,14.8,2.7
46,17.0,16.0,9.0
47,13.0,19.0,2.0
48,12.0,18.0,10.0
49,7.0,21.0,2.0
50,4.7,11.1,1.2
51,3.8,16.2,0.7
52,18.0,77.0,8.0
53,20.0,9.0,3.0
54,22.0,30.0,3.0
55,18.1,7.4,2.0
56,12.0,6.8,3.2
57,8.0,25.0,8.0
58,18.0,12.0,3.0
59,13.0,5.1,2.7
60,6.0,6.0,1.0
61,10.6,6.2,2.2
62,6.0,16.0,5.0
63,10.0,10.0,9.0
64,5.2,7.2,5.0
65,7.0,16.0,2.0
66,20.8,5.3,2.0
67,24.5,10.0,1.5
68,15.0,12.5,5.0
69,26.0,17.0,7.0
70,19.0,7.0,2.0
71,10.5,27.8,3.3
72,10.0,25.0,5.0
73,13.0,18.0,9.0
74,7.9,11.5,1.6
75,7.0,15.5,0.5
76,9.0,10.0,1.0
77,5.0,9.0,4.0
78,5.5,6.0,2.0
79,3.5,13.2,1.5
80,20.0,34.0,1.0
81,11.4,5.9,1.0
82,12.8,15.9,0.8
83,10.0,9.0,3.0
84,5.0,10.0,0.0
85,6.0,15.0,2.0
86,11.0,15.0,1.0
87,6.0,15.0,1.0
88,9.5,4.5,4.4
89,7.3,3.7,0.0
90,19.5,11.9,2.3
91,7.0,8.0,1.0
92,10.0,10.0,2.0
