Resort ID,Resort Name,Continent,Country,State/Province,Country Code
1,KitzSki – Kitzbühel/Kirchberg,Europe,Austria,Tyrol (Tirol),AT
2,Ischgl/Samnaun – Silvretta Arena,Europe,Austria,Tyrol (Tirol),AT
3,SkiWelt Wilder Kaiser-Brixental,Europe,Austria,Tyrol (Tirol),AT
4,Ski Arlberg,Europe,Austria,Tyrol (Tirol),AT
5,Serfaus-Fiss-Ladis,Europe,Austria,Tyrol (Tirol),AT
6,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),Europe,Austria,Salzburg (Salzburger Land),AT
7,Kaltenbach – Hochzillertal/Hochfügen (SKi-optimal),Europe,Austria,Tyrol (Tirol),AT
8,Zillertal Arena – Zell am Ziller/Gerlos/Königsleiten/Hochkrimml,Europe,Austria,Tyrol (Tirol),AT
9, Schladming – Planai/​Hochwurzen/​Hauser Kaibling/​Reiteralm (4-Berge-Skischaukel),Europe,Austria,Styria (Steiermark),AT
10,Sölden,Europe,Austria,Tyrol (Tirol),AT
11,Silvretta Montafon,Europe,Austria,Vorarlberg,AT
12,Mayrhofen – Penken/Ahorn/Rastkogel/Eggalm,Europe,Austria,Tyrol (Tirol),AT
13, Obertauern,Europe,Austria,Salzburg (Salzburger Land),AT
14,Gurgl – Obergurgl-Hochgurgl,Europe,Austria,Tyrol (Tirol),AT
15, Hochkönig – Maria Alm/Dienten/Mühlbach,Europe,Austria,Salzburg (Salzburger Land),AT
16,. Snow Space Salzburg – Flachau/Wagrain/St. Johann-Alpendorf,Europe,Austria,Salzburg (Salzburger Land),AT
17,Schmittenhöhe – Zell am See,Europe,Austria,Salzburg (Salzburger Land),AT
18, Wildkogel – Neukirchen/Bramberg,Europe,Austria,Salzburg (Salzburger Land),AT
19,Kitzsteinhorn/Maiskogel – Kaprun,Europe,Austria,Salzburg (Salzburger Land),AT
20, Bad Gastein/Bad Hofgastein – Schlossalm/Angertal/Stubnerkogel,Europe,Austria,Salzburg (Salzburger Land),AT
21, Katschberg,Europe,Austria,Carinthia (Karnten),AT
22,. Turracher Höhe,Europe,Austria,Carinthia (Karnten),AT
23, Ski Juwel Alpbachtal Wildschönau,Europe,Austria,Tyrol (Tirol),AT
24,Damüls Mellau,Europe,Austria,Vorarlberg,AT
25,. Steinplatte/Winklmoosalm – Waidring/Reit im Winkl,Europe,Austria,Tyrol (Tirol),AT
26,Großglockner Resort Kals-Matrei,Europe,Austria,Tyrol (Tirol),AT
27, Nauders am Reschenpass – Bergkastel,Europe,Austria,Tyrol (Tirol),AT
28, Nassfeld – Hermagor,Europe,Austria,Carinthia (Karnten),AT
29, Kühtai,Europe,Austria,Tyrol (Tirol),AT
30, Stubai Glacier (Stubaier Gletscher),Europe,Austria,Tyrol (Tirol),AT
31, Großarltal/Dorfgastein,Europe,Austria,Salzburg (Salzburger Land),AT
32, Zauchensee/Flachauwinkl,Europe,Austria,Salzburg (Salzburger Land),AT
33,. Almenwelt Lofer,Europe,Austria,Salzburg (Salzburger Land),AT
34, Lermoos – Grubigstein,Europe,Austria,Tyrol (Tirol),AT
35, Golm,Europe,Austria,Vorarlberg,AT
36, Hintertux Glacier (Hintertuxer Gletscher),Europe,Austria,Tyrol (Tirol),AT
37,. St. Johann in Tirol/Oberndorf – Harschbichl,Europe,Austria,Tyrol (Tirol),AT
38,. Radstadt/Altenmarkt,Europe,Austria,Salzburg (Salzburger Land),AT
39,Tauplitz – Bad Mitterndorf,Europe,Austria,Styria (Steiermark),AT
40, Hochzeiger – Jerzens,Europe,Austria,Tyrol (Tirol),AT
41, Dachstein West – Gosau/Russbach/Annaberg,Europe,Austria,Salzburg (Salzburger Land),AT
42, Galtür – Silvapark,Europe,Austria,Tyrol (Tirol),AT
43,. Sillian – Thurntaler (Hochpustertal),Europe,Austria,Tyrol (Tirol),AT
44, Hochoetz – Oetz,Europe,Austria,Tyrol (Tirol),AT
45,. Spieljoch – Fügen,Europe,Austria,Tyrol (Tirol),AT
46, Kreischberg,Europe,Austria,Styria (Steiermark),AT
47, Fellhorn/Kanzelwand – Oberstdorf/Riezlern,Europe,Austria,Vorarlberg,AT
48, Hinterstoder – Höss,Europe,Austria,Upper Austria (Oberosterreich),AT
49,Axamer Lizum,Europe,Austria,Tyrol (Tirol),AT
