Resort_ID,Resort_Name,Continent,Country,State_Province,Latitude,Longitude,Country_Code
1,KitzSki – Kitzbühel/Kirchberg,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
2,Ischgl/Samnaun – Silvretta Arena,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
3,SkiWelt Wilder Kaiser-Brixental,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
4,Ski Arlberg,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
5,Serfaus-Fiss-Ladis,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
6,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
7,Kaltenbach – Hochzillertal/Hochfügen (SKi-optimal),Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
8,Zillertal Arena – Zell am Ziller/Gerlos/Königsleiten/Hochkrimml,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
9, Schladming – Planai/​Hochwurzen/​Hauser Kaibling/​Reiteralm (4-Berge-Skischaukel),Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
10,Sölden,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
11,Silvretta Montafon,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
12,Mayrhofen – Penken/Ahorn/Rastkogel/Eggalm,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
13, Obertauern,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
14,Gurgl – Obergurgl-Hochgurgl,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
15, Hochkönig – Maria Alm/Dienten/Mühlbach,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
16,. Snow Space Salzburg – Flachau/Wagrain/St. Johann-Alpendorf,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
17,Schmittenhöhe – Zell am See,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
18, Wildkogel – Neukirchen/Bramberg,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
19,Kitzsteinhorn/Maiskogel – Kaprun,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
20, Bad Gastein/Bad Hofgastein – Schlossalm/Angertal/Stubnerkogel,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
21, Katschberg,Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
22,. Turracher Höhe,Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
23, Ski Juwel Alpbachtal Wildschönau,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
24,Damüls Mellau,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
25,. Steinplatte/Winklmoosalm – Waidring/Reit im Winkl,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
26,Großglockner Resort Kals-Matrei,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
27, Nauders am Reschenpass – Bergkastel,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
28, Nassfeld – Hermagor,Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
29, Kühtai,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
30, Stubai Glacier (Stubaier Gletscher),Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
31, Großarltal/Dorfgastein,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
32, Zauchensee/Flachauwinkl,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
