Resort ID,Adult,Currency
1,55.0,GBP
2,53.0,GBP
3,49.0,GBP
4,53.0,GBP
5,51.0,GBP
6,53.0,GBP
8,52.0,GBP
10,53.0,GBP
12,52.0,GBP
14,52.0,GBP
17,51.0,GBP
18,45.0,GBP
19,51.0,GBP
20,52.0,GBP
22,46.0,GBP
24,50.0,GBP
25,45.0,GBP
27,41.0,GBP
28,47.0,GBP
29,39.0,GBP
30,47.0,GBP
33,42.0,GBP
34,44.0,GBP
36,52.0,GBP
39,41.0,GBP
40,44.0,GBP
42,40.0,GBP
44,39.0,GBP
47,47.0,GBP
51,50.0,GBP
52,47.0,GBP
53,41.0,GBP
55,44.0,GBP
58,41.0,GBP
59,44.0,GBP
60,43.0,GBP
61,47.0,GBP
62,44.0,GBP
65,41.0,GBP
67,43.0,GBP
69,41.0,GBP
71,46.0,GBP
73,43.0,GBP
76,39.0,GBP
77,37.0,GBP
79,52.0,GBP
80,44.0,GBP
82,42.0,GBP
83,40.0,GBP
85,38.0,GBP
87,38.0,GBP
88,39.0,GBP
89,44.0,GBP
90,47.0,GBP
94,33.0,GBP
95,35.0,GBP
98,41.0,GBP
99,36.0,GBP
101,36.0,GBP
102,36.0,GBP
103,41.0,GBP
106,35.0,GBP
109,43.0,GBP
111,39.0,GBP
115,37.0,GBP
116,37.0,GBP
117,38.0,GBP
118,32.0,GBP
119,40.0,GBP
120,39.0,GBP
122,44.0,GBP
123,48.0,GBP
125,28.0,GBP
127,36.0,GBP
129,38.0,GBP
131,36.0,GBP
134,26.0,GBP
135,30.0,GBP
136,41.0,GBP
137,38.0,GBP
138,35.0,GBP
139,37.0,GBP
141,20.0,GBP
143,18.0,GBP
144,0.0,-
146,0.0,-
147,14.0,GBP
148,13.0,GBP
149,31.0,GBP
150,18.0,GBP
153,22.0,GBP
154,19.0,GBP
156,0.0,-
157,16.0,GBP
158,9.0,GBP
160,0.0,-
161,0.0,-
162,0.0,-
163,0.0,-
166,0.0,-
167,0.0,-
168,20.0,GBP
169,0.0,-
170,0.0,-
171,35.0,GBP
172,0.0,-
173,28.0,GBP
174,14.0,GBP
175,22.0,GBP
177,0.0,-
178,11.0,GBP
179,0.0,-
180,0.0,-
181,41.0,GBP
182,0.0,-
183,0.0,-
184,0.0,-
185,32.0,GBP
186,0.0,-
187,34.0,GBP
188,0.0,-
189,24.0,GBP
190,7.0,GBP
191,0.0,-
192,0.0,-
193,9.0,GBP
194,0.0,-
195,0.0,-
196,0.0,-
197,17.0,GBP
199,22.0,GBP
201,17.0,GBP
202,47.0,GBP
204,0.0,-
205,0.0,-
206,17.0,GBP
207,10.0,GBP
208,0.0,-
209,8.0,GBP
210,20.0,GBP
211,29.0,GBP
212,0.0,-
213,0.0,-
214,24.0,GBP
215,32.0,GBP
216,25.0,GBP
217,0.0,-
218,17.0,GBP
219,28.0,GBP
220,52.0,GBP
221,33.0,GBP
222,14.0,GBP
223,23.0,GBP
224,0.0,-
225,36.0,GBP
226,0.0,-
227,9.0,GBP
228,19.0,GBP
229,18.0,GBP
230,0.0,-
231,0.0,-
232,0.0,-
233,22.0,GBP
234,36.0,GBP
235,0.0,-
236,0.0,-
238,0.0,-
239,30.0,GBP
240,27.0,GBP
243,0.0,-
244,33.0,GBP
245,28.0,GBP
246,16.0,GBP
247,16.0,GBP
248,31.0,GBP
250,17.0,GBP
251,28.0,GBP
252,32.0,GBP
253,0.0,-
254,33.0,GBP
255,22.0,GBP
256,34.0,GBP
257,0.0,-
258,20.0,GBP
260,0.0,-
261,19.0,GBP
262,20.0,GBP
263,0.0,-
265,0.0,-
267,26.0,GBP
268,0.0,-
269,0.0,-
270,39.0,GBP
272,10.0,GBP
273,0.0,-
274,0.0,-
275,20.0,GBP
277,0.0,-
278,18.0,GBP
279,23.0,GBP
280,20.0,GBP
282,25.0,GBP
283,0.0,-
284,32.0,GBP
286,18.0,GBP
287,0.0,-
288,33.0,GBP
289,0.0,-
290,37.0,GBP
292,15.0,GBP
293,15.0,GBP
294,25.0,GBP
295,0.0,-
296,29.0,GBP
297,18.0,GBP
298,0.0,-
299,0.0,-
300,39.0,GBP
302,0.0,-
303,17.0,GBP
304,19.0,GBP
305,0.0,-
306,21.0,GBP
307,9.0,GBP
308,9.0,GBP
309,0.0,-
310,0.0,-
311,0.0,-
312,10.0,GBP
313,19.0,GBP
314,8.0,GBP
318,10.0,GBP
319,15.0,GBP
320,32.0,GBP
321,32.0,GBP
323,26.0,GBP
324,0.0,-
325,0.0,-
327,0.0,-
328,30.0,GBP
329,0.0,-
330,0.0,-
331,10.0,GBP
332,20.0,GBP
333,13.0,GBP
334,15.0,GBP
335,0.0,-
336,0.0,-
337,14.0,GBP
339,0.0,-
340,19.0,GBP
341,7.0,GBP
342,15.0,GBP
343,34.0,GBP
344,24.0,GBP
345,0.0,-
346,22.0,GBP
347,0.0,-
348,12.0,GBP
352,0.0,-
353,26.0,GBP
355,5.0,GBP
356,0.0,-
357,33.0,GBP
358,17.0,GBP
359,37.0,GBP
360,22.0,GBP
361,0.0,-
362,10.0,GBP
363,19.0,GBP
364,13.0,GBP
365,0.0,-
366,18.0,GBP
368,24.0,GBP
370,14.0,GBP
371,30.0,GBP
372,0.0,-
374,24.0,GBP
375,30.0,GBP
376,8.0,GBP
378,18.0,GBP
380,26.0,GBP
381,13.0,GBP
382,11.0,GBP
383,11.0,GBP
384,35.0,GBP
386,0.0,-
388,16.0,GBP
389,22.0,GBP
390,0.0,-
391,23.0,GBP
393,0.0,-
394,22.0,GBP
395,23.0,GBP
396,0.0,-
397,14.0,GBP
398,0.0,-
400,0.0,-
402,13.0,GBP
403,17.0,GBP
404,20.0,GBP
406,11.0,GBP
407,20.0,GBP
409,0.0,-
410,0.0,-
412,18.0,GBP
414,12.0,GBP
415,18.0,GBP
416,0.0,-
417,29.0,GBP
419,22.0,GBP
420,44.0,GBP
421,0.0,-
422,0.0,-
424,10.0,GBP
425,18.0,GBP
426,15.0,GBP
427,30.0,GBP
428,5.0,GBP
429,10.0,GBP
430,10.0,GBP
433,30.0,GBP
434,108.0,GBP
435,113.75999999999999,GBP
436,112.32,GBP
437,132.48,GBP
438,86.39999999999999,GBP
439,0.0,-
440,92.16,GBP
441,82.07999999999998,GBP
442,93.6,GBP
443,108.0,GBP
444,52.0,GBP
445,83.52,GBP
446,83.52,GBP
447,95.04,GBP
448,92.16,GBP
449,100.8,GBP
450,113.75999999999999,GBP
451,92.16,GBP
452,105.11999999999999,GBP
453,90.71999999999998,GBP
454,72.0,GBP
455,77.75999999999999,GBP
456,79.2,GBP
457,76.32,GBP
458,79.2,GBP
459,82.07999999999998,GBP
460,80.64,GBP
461,87.84,GBP
462,69.11999999999999,GBP
463,84.96,GBP
464,80.64,GBP
465,99.36,GBP
466,92.16,GBP
467,80.64,GBP
468,74.88,GBP
469,0.0,-
470,96.47999999999999,GBP
471,82.07999999999998,GBP
472,79.2,GBP
473,72.0,GBP
474,73.44,GBP
475,90.71999999999998,GBP
476,90.71999999999998,GBP
477,80.64,GBP
478,80.64,GBP
479,74.88,GBP
480,63.35999999999999,GBP
481,84.96,GBP
482,74.88,GBP
483,83.52,GBP
484,77.75999999999999,GBP
485,70.55999999999999,GBP
486,74.88,GBP
487,73.44,GBP
488,72.0,GBP
489,74.88,GBP
490,61.92,GBP
491,61.92,GBP
492,79.2,GBP
493,90.71999999999998,GBP
494,90.71999999999998,GBP
495,70.55999999999999,GBP
496,54.72,GBP
497,64.8,GBP
498,53.279999999999994,GBP
499,60.48,GBP
500,69.11999999999999,GBP
501,64.8,GBP
502,0.0,-
503,64.8,GBP
504,70.55999999999999,GBP
505,0.0,-
506,73.44,GBP
507,56.16,GBP
508,56.16,GBP
509,57.599999999999994,GBP
510,60.48,GBP
511,90.71999999999998,GBP
512,63.35999999999999,GBP
513,50.4,GBP
514,56.16,GBP
515,61.92,GBP
516,74.88,GBP
517,61.92,GBP
518,56.16,GBP
519,69.11999999999999,GBP
520,63.35999999999999,GBP
521,79.2,GBP
522,56.16,GBP
523,47.52,GBP
524,74.88,GBP
525,43.199999999999996,GBP
526,56.16,GBP
527,57.599999999999994,GBP
528,40.32,GBP
529,51.839999999999996,GBP
530,56.16,GBP
531,50.4,GBP
532,46.08,GBP
533,47.52,GBP
534,0.0,-
535,38.879999999999995,GBP
536,50.4,GBP
537,23.04,GBP
538,14.399999999999999,GBP
539,50.4,GBP
540,46.08,GBP
541,66.24,GBP
542,31.679999999999996,GBP
543,46.08,GBP
544,44.63999999999999,GBP
545,25.919999999999998,GBP
546,21.599999999999998,GBP
547,0.0,-
548,0.0,-
549,54.72,GBP
550,30.24,GBP
551,17.279999999999998,GBP
552,14.399999999999999,GBP
553,0.0,-
554,31.679999999999996,GBP
555,61.92,GBP
556,15.839999999999998,GBP
557,43.199999999999996,GBP
558,47.52,GBP
559,41.76,GBP
560,54.72,GBP
561,50.4,GBP
562,34.559999999999995,GBP
563,34.559999999999995,GBP
564,21.599999999999998,GBP
565,21.599999999999998,GBP
566,36.0,GBP
567,50.4,GBP
568,38.879999999999995,GBP
569,0.0,-
570,11.52,GBP
571,25.919999999999998,GBP
572,48.959999999999994,GBP
573,11.52,GBP
574,38.879999999999995,GBP
575,63.35999999999999,GBP
576,20.16,GBP
577,70.55999999999999,GBP
578,47.52,GBP
579,54.72,GBP
580,46.08,GBP
581,0.0,-
582,50.4,GBP
583,60.48,GBP
584,41.76,GBP
585,28.799999999999997,GBP
586,25.919999999999998,GBP
587,0.0,-
588,23.04,GBP
589,34.559999999999995,GBP
590,0.0,-
591,84.96,GBP
592,51.839999999999996,GBP
593,36.0,GBP
594,28.799999999999997,GBP
595,7.199999999999999,GBP
596,0.0,-
597,31.679999999999996,GBP
598,56.16,GBP
599,43.199999999999996,GBP
600,0.0,-
601,48.959999999999994,GBP
602,0.0,-
603,36.0,GBP
604,7.199999999999999,GBP
605,0.0,-
606,50.4,GBP
607,0.0,-
608,28.799999999999997,GBP
609,28.799999999999997,GBP
610,64.8,GBP
611,40.32,GBP
612,36.0,GBP
613,40.32,GBP
614,90.71999999999998,GBP
615,36.0,GBP
616,36.0,GBP
617,36.0,GBP
618,46.08,GBP
619,14.399999999999999,GBP
620,28.799999999999997,GBP
621,21.599999999999998,GBP
622,27.36,GBP
623,47.52,GBP
624,60.48,GBP
625,46.08,GBP
626,46.08,GBP
627,4.319999999999999,GBP
628,28.799999999999997,GBP
629,36.0,GBP
630,0.0,-
631,40.32,GBP
632,0.0,-
633,21.599999999999998,GBP
634,0.0,-
635,0.0,-
636,34.559999999999995,GBP
637,38.879999999999995,GBP
638,43.199999999999996,GBP
639,17.279999999999998,GBP
640,0.0,-
641,90.71999999999998,GBP
642,38.879999999999995,GBP
643,0.0,-
644,0.0,-
645,40.32,GBP
646,0.0,-
647,30.24,GBP
648,25.919999999999998,GBP
649,7.199999999999999,GBP
650,0.0,-
651,46.08,GBP
652,20.16,GBP
653,34.559999999999995,GBP
654,41.76,GBP
