Resort ID,NameResort,Rate,Stars
1,KitzSki – Kitzbühel/Kirchberg,4.9,5.0
2,Ischgl/Samnaun – Silvretta Arena,4.8,5.0
3,SkiWelt Wilder Kaiser-Brixental,4.8,5.0
4,Ski Arlberg,4.8,5.0
5,Serfaus-Fiss-Ladis,4.8,5.0
6,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),4.7,5.0
7,Kaltenbach – Hochzillertal/Hochfügen (SKi-optimal),4.7,5.0
8,Zillertal Arena – Zell am Ziller/Gerlos/Königsleiten/Hochkrimml,4.7,5.0
9, Schladming – Planai/​Hochwurzen/​Hauser Kaibling/​Reiteralm (4-Berge-Skischaukel),4.7,4.0
10,Sölden,4.7,5.0
11,Silvretta Montafon,4.6,5.0
12,Mayrhofen – Penken/Ahorn/Rastkogel/Eggalm,4.6,5.0
13, Obertauern,4.5,4.0
14,Gurgl – Obergurgl-Hochgurgl,4.5,5.0
15, Hochkönig – Maria Alm/Dienten/Mühlbach,4.5,4.0
16,. Snow Space Salzburg – Flachau/Wagrain/St. Johann-Alpendorf,4.5,3.0
17,Schmittenhöhe – Zell am See,4.4,5.0
18, Wildkogel – Neukirchen/Bramberg,4.4,4.0
19,Kitzsteinhorn/Maiskogel – Kaprun,4.4,5.0
20, Bad Gastein/Bad Hofgastein – Schlossalm/Angertal/Stubnerkogel,4.4,4.0
21, Katschberg,4.3,4.0
22,. Turracher Höhe,4.3,3.0
23, Ski Juwel Alpbachtal Wildschönau,4.2,4.0
24,Damüls Mellau,4.2,5.0
25,. Steinplatte/Winklmoosalm – Waidring/Reit im Winkl,4.2,3.0
26,Großglockner Resort Kals-Matrei,4.2,5.0
27, Nauders am Reschenpass – Bergkastel,4.2,4.0
28, Nassfeld – Hermagor,4.2,4.0
29, Kühtai,4.1,4.0
30, Stubai Glacier (Stubaier Gletscher),4.1,4.0
31, Großarltal/Dorfgastein,4.1,4.0
32, Zauchensee/Flachauwinkl,4.1,4.0
33,. Almenwelt Lofer,4.0,3.0
