Resort ID,Resort Name
RES001,KitzSki – Kitzbühel/Kirchberg
RES002,Ischgl/Samnaun – Silvretta Arena
RES003,SkiWelt Wilder Kaiser-Brixental
RES004,Ski Arlberg
RES005,Serfaus-Fiss-Ladis
RES006,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus)
RES007,Kaltenbach – Hochzillertal/Hochfügen (SKi-optimal)
RES008,Zillertal Arena – Zell am Ziller/Gerlos/Königsleiten/Hochkrimml
RES009, Schladming – Planai/​Hochwurzen/​Hauser Kaibling/​Reiteralm (4-Berge-Skischaukel)
RES010,Sölden
RES011,Silvretta Montafon
RES012,Mayrhofen – Penken/Ahorn/Rastkogel/Eggalm
RES013, Obertauern
RES014,Gurgl – Obergurgl-Hochgurgl
RES015, Hochkönig – Maria Alm/Dienten/Mühlbach
RES016,. Snow Space Salzburg – Flachau/Wagrain/St. Johann-Alpendorf
RES017,Schmittenhöhe – Zell am See
RES018, Wildkogel – Neukirchen/Bramberg
RES019,Kitzsteinhorn/Maiskogel – Kaprun
RES020, Bad Gastein/Bad Hofgastein – Schlossalm/Angertal/Stubnerkogel
RES021, Katschberg
RES022,. Turracher Höhe
RES023, Ski Juwel Alpbachtal Wildschönau
RES024,Damüls Mellau
RES025,. Steinplatte/Winklmoosalm – Waidring/Reit im Winkl
RES026,Großglockner Resort Kals-Matrei
RES027, Nauders am Reschenpass – Bergkastel
RES028, Nassfeld – Hermagor
RES029, Kühtai
RES030, Stubai Glacier (Stubaier Gletscher)
RES031, Großarltal/Dorfgastein
RES032, Zauchensee/Flachauwinkl
RES033,. Almenwelt Lofer
RES034, Lermoos – Grubigstein
RES035, Golm
RES036, Hintertux Glacier (Hintertuxer Gletscher)
RES037,. St. Johann in Tirol/Oberndorf – Harschbichl
RES038,. Radstadt/Altenmarkt
RES039,Tauplitz – Bad Mitterndorf
RES040, Hochzeiger – Jerzens
RES041, Dachstein West – Gosau/Russbach/Annaberg
RES042, Galtür – Silvapark
RES043,. Sillian – Thurntaler (Hochpustertal)
RES044, Hochoetz – Oetz
RES045,. Spieljoch – Fügen
RES046, Kreischberg
RES047, Fellhorn/Kanzelwand – Oberstdorf/Riezlern
RES048, Hinterstoder – Höss
RES049,Axamer Lizum
RES050,. St. Jakob im Defereggental – Brunnalm
RES051,. Pitztal Glacier (Pitztaler Gletscher)
RES052, Bad Kleinkirchheim
RES053, Riesneralm – Donnersbachwald
RES054,. Brandnertal – Brand/Bürserberg
RES055,. Ehrwalder Alm – Ehrwald
RES056,. Schlick 2000 – Fulpmes
RES057, See
RES058, Loser – Altaussee
RES059,Kaunertal Glacier (Kaunertaler Gletscher)
RES060,. Filzmoos
RES061, Ifen
RES062,. Christlum – Achenkirch
RES063,. Bergeralm – Steinach am Brenner
RES064, Moelltal Glacier (Mölltaler Gletscher)
RES065,. Lachtal
RES066, Gargellen
RES067,. Berwang/Bichlbach/Rinnen
RES068,. Rauriser Hochalmbahnen – Rauris
RES069,. Grosseck/Speiereck – Mauterndorf/St. Michael
RES070,. Flachauwinkl/Kleinarl (Shuttleberg)
RES071,. Gerlitzen
RES072, Kappl
RES073, Diedamskopf – Schoppernau
RES074,. Zettersfeld – Lienz
RES075,. Glungezer – Tulfes
RES076,. Hochficht
RES077,. Patscherkofel – Innsbruck-Igls
RES078,. Mönichkirchen/Mariensee
RES079,Sportgastein
RES080,Grossglockner Heiligenblut
RES081,. Rosshütte – Seefeld
RES082, Sonnenkopf – Klösterle
RES083,. Hochkössen (Unterberghorn) – Kössen
RES084,. Vent
RES085, Weissee Gletscherwelt – Uttendorf
RES086,. Werfenweng
RES087,. Venet – Landeck/Zams/Fliess
RES088, Rifflsee
RES089,. Biberwier – Marienberg
RES090,. Walmendingerhorn/Heuberg – Mittelberg/Hirschegg
RES091,. Muttereralm – Mutters/Götzens
RES092,. Wurzeralm – Spital am Pyhrn
RES093,. Ramsau am Dachstein – Rittisberg
RES094,. Jöchelspitze – Bach
RES095,. Grebenzen – St. Lambrecht
RES096, Ankogel – Mallnitz
RES097,. Feuerkogel – Ebensee
RES098,. Fanningberg
RES099,. Laterns – Gapfohl
RES100,. Buchensteinwand (Pillersee) – St. Ulrich am Pillersee/St. Jakob in Haus/Hochfilzen
RES101,. Monte Popolo – Eben im Pongau
RES102,. Hahnenkamm – Höfen/Reutte
RES103,goldeck-spittal-an-der-drau
RES104,Nordkette – Innsbruck
RES105,. Rangger Köpfl – Oberperfuss
RES106,. Zauberberg Semmering
RES107,. Gschwandtkopf – Seefeld
RES108,. Jungholz
RES109,stuhleck-spital-am-semmering
RES110,markbachjochlanerkoepfl-niederau
RES111,innerkrems-kremsbruecke-krems-in-kaernten
RES112,. Kristberg – Silbertal
RES113,. Reith bei Kitzbühel
RES114,. Schetteregg – Egg
RES115,. Neunerköpfle – Tannheim
RES116,. Füssener Jöchle – Grän
RES117,praebichl-vordernberg
RES118,petzen-feistritz-ob-bleiburg
RES119,kitzbueheler-horn
RES120,kasberg-gruenau-im-almtal
RES121,hoch-imst-imst
RES122,galsterberg-pruggern
RES123,. Dachstein Glacier (Dachsteingletscher)
RES124,. Hochstein – Lienz
RES125,. Karwendel Bergbahn (Zwölferkopf) – Pertisau
RES126,. Rofan – Maurach
RES127,obertilliach-golzentipp
RES128,karkogel-abtenau
RES129,hochkar-goestling
RES130,gemeindealpe-mitterbach-am-erlaufsee
RES131,gaissau-hintersee
RES132,buergeralpe-mariazell
RES133,arnoldstein-dreilaendereck
RES134,. Kelchsau
RES135,. Kellerjoch – Schwaz
RES136,planneralm-donnersbach
RES137,oetscher-lackenhof-gaming
RES138,klippitztoerl
RES139,fendels
RES140,boedele-schwarzenberg
RES141,. Burglift – Stans
RES142,. Heutal – Unken
RES143,. Tirolina (Haltjochlift) – Hinterthiersee
RES144,. Hohe Wand Wiese – Vienna (High Hills)
RES145,. Trins
RES146,. Alfaierlift – Gschnitz
RES147,. Archenstadel – Rinn
RES148,. Kramsach
RES149,. Sternstein – Bad Leonfelden
RES150,. Schneeberglifte – Mitterland (Thiersee)
RES151,aichelberglifts-karlstift-bad-grosspertholz
RES152,alberschwende-brueggelekopfdresslerbergtannerberg
RES153,almblicklifts-strallegg
RES154,alpe-furx-furx-zwischenwasser
RES155,annaberg
RES156,annerlbauerlifte-krieglach
RES157,arabichl-kirchberg-am-wechsel
RES158,arnreit
RES159,arralifts-harmanschlag-st-martin
RES160,aschaulift-koppl
RES161,astenberg-wiesing
RES162,astenlift-st-veit-im-pongau
RES163,bachrain-golling-an-der-salzach
RES164,bad-haering
RES165,baienberg-reuthe
RES166,baldramsdorf
RES167,bameshub-neukirchen-am-waldeeschenau
RES168,bazora-gurtisfrastanz
RES169,berger-anger-berg-im-drautal
RES170,bernrad-natternbach
RES171,bichlalm
RES172,birgitz
RES173,birkenlift
RES174,boden-pfafflar
RES175,bodental-unterbergen-ferlach
RES176,boeglerlift-alpbach
RES177,bonka-kirchbach-st-andrae-woerdern
RES178,brandlift-scharnitz
RES179,brandlwiese-kaumberg
RES180,brandtner-lifte-hartkirchen
RES181,braz-innerbraz
RES182,breitenwang
RES183,brenneralm-breitenfurt-bei-wien
RES184,bruggen-greifenburg
RES185,brunnalmhohe-veitsch-veitsch-st-barbara-im-muerztal
RES186,bschlabs-pfafflar
RES187,buchberg-goldegg
RES188,buchsteinlift-reiflingviertel-st-gallen
RES189,buergeralm-aflenz
RES190,bungerloch-tarrenz
RES191,dellach-im-drautal
RES192,dollwiese-vienna
RES193,dorflift-sulzberg
RES194,druckerhof-unterach-am-attersee
RES195,eberschwang-hausruck
RES196,eibisberg-anger
RES197,eichfeldlift-turnau
RES198,elfer-neustift
RES199,embach-hoerndl
RES200,emberger-alm-berg-im-drautal
RES201,eugendorf
RES202,fageralm-forstau
RES203,faschina-fontanella
RES204,feichtecklift-brandlucken-st-kathrein-am-offenegg
RES205,feichten
RES206,feistritzsattel-trattenbach
RES207,fellachlift-virgen
RES208,fischbach
RES209,floitenlift-ginzling
RES210,foersterkogel-puchenstuben
RES211,forsteralm-waidhofen-an-der-ybbs
RES212,frauenstaffl-ulrichsberg-waidhofen-an-der-thaya
RES213,freistadt
RES214,furtnerlifts-rohr-im-gebirge
RES215,gaaler-lifte-gaal
RES216,gaberlplankogel-salla-maria-lankowitz
RES217,gaisrueckleiten-wiesen
RES218,gedersberg-seiersberg
RES219,geigenbuehel
RES220,gerlossteinramsberg-hainzenberg
RES221,gfoellberglift-holzgau
RES222,glasenberg-maria-neustift
RES223,goellerlifts-gscheid-st-aegyd-am-neuwalde
RES224,gramais
RES225,graukogel-bad-gastein
RES226,gries-laengenfeld
RES227,griminitzen-kirchbach
RES228,groellerkopf-uebersaxen
RES229,gruenberg-obsteig
RES230,grunholzlift-au
RES231,gut-enghagen-rossleithen
RES232,haeselgehr
RES233,hagenberglifte-sulzberg
RES234,hahnbaum-st-johann-im-pongau
RES235,hallstatt
RES236,hammerbodenlift-grossreifling-landl
RES237,hansberg-st-johann-am-wimberg
RES238,hartmannsdorf
RES239,hauereck-st-kathrein-am-hauenstein
RES240,hausberglift-waidring
RES241,heidialm-skipark-falkert
RES242,heumoeser-ebnit-dornbirn
RES243,hinterfeld-moesern-telfs
RES244,hinterreit-saalfelden-am-steinernen-meer
RES245,hirnkopf-flattnitz-gloednitz
RES246,hittisberg-hittisau
RES247,hochbaerneck-st-anton-an-der-jessnitz
RES248,hochhaederich-hittisau
RES249,hochkeil-am-hochkoenig
RES250,hochlecken-neukirchen-altmuenster
RES251,hochlitten-riefensberg
RES252,hochmoos-leutasch
RES253,hochplett-oberaschau
RES254,hochrindl-sirnitz
RES255,hochwechsellifts-moenichwald
RES256,hohentauern
RES257,hohenzellerstrasse-ried-im-innkreis
RES258,hoislifts-modriach-edelschrott
RES259,holzmeisterlifts-sommeralm-st-kathrein-am-offenegg
RES260,hotz-oberweng-spital-am-pyhrn
RES261,hrastlift-feistritz-an-der-gail
RES262,huettegglift-weerberg
RES263,huetten-bizau
RES264,jauerling-maria-laach-am-jauerling
RES265,johnsbach-admont
RES266,josefsberg-mitterbach-am-erlaufsee
RES267,kaiserau-admont
RES268,kaiserlindenlift-gams-bei-hieflau
RES269,kaisers
RES270,karlift-heiterwang
RES271,katschwald-obdach
RES272,kesselmannlifte-faistenau
RES273,kienleitenlift-brandenberg
RES274,kinzenberg-taiskirchen-im-innkreis
RES275,kirchbach-rappottenstein
RES276,kirchdorf
RES277,kirchdorflift-doren
RES278,kirchschlag-bei-linz
RES279,kleinlobming
RES280,kluglifte-hebalm-rettenbach-deutschlandsberg
RES281,knittellifte-elbigenalp
RES282,koenigsberg-hollenstein-an-der-ybbs
RES283,koenigswiesen
RES284,koetschach-mauthen-vorhegg
RES285,kohleck-waldzell
RES286,kolsassberg
RES287,konradshuettle-vils
RES288,koralpe
RES289,kraehenberg-sibratsgfaell
RES290,krinnenalpe-nesselwaengle
RES291,krippenstein-obertraun
RES292,kroessbach
RES293,kronberg-st-georgen-im-attergau
RES294,laerchenhof-erpfendorf
RES295,lainach-rangersdorf
RES296,lammeralm-langenwang
RES297,lammertallift-annaberg-lungoetz
RES298,lana-lift-anras
RES299,langkampfen
RES300,lechnerberg
RES301,lengau
RES302,lessach
RES303,liebenau
RES304,maiszinken-lunz-am-see
RES305,maria-schmolln
RES306,mathon
RES307,millruette-goetzis
RES308,mitteldorflift-doellach-grosskirchheim
RES309,moenchdorf-koenigswiesen
RES310,moosberglift-weissenbach-am-lech
RES311,moosenlift-uttendorf
RES312,moosetallift-leisach
RES313,muckenkogel-lilienfeld
RES314,muehldorf
RES315,muehlegglift-hopfgarten-in-defereggen
RES316,nagelkoepfl-piesendorf
RES317,naggler-alm-techendorf-weissensee
RES318,navis
RES319,neuleutasch-leutasch
RES320,niederalpl-muerzsteg-neuberg-an-der-muerz
RES321,niedere-andelsbuchbezau
RES322,niedernsill
RES323,niederthai-umhausen
RES324,nocksteinlifte-koppl
RES325,nussbaumerlifte-hof-bei-salzburg
RES326,obdach
RES327,oberaschenberg-neustift-im-muehlkreis
RES328,oberau-wildschoenau
RES329,oberneukirchen
RES330,obervellach
RES331,oberwaldlifte-faistenau
RES332,oberzeiring-poelstal
RES333,oswaldbauerlift-krieglach
RES334,paluda-dalaas
RES335,patschalift-st-kathrein-am-offenegg
RES336,peretseck-st-johann-am-walde
RES337,petersbruendl-st-michael-im-lungau
RES338,pfaender-bregenz
RES339,pfaring-angerberg
RES340,pirstingerkogellift-sommeralm-hohenau-an-der-raab-passail
RES341,platzhaus-leitn-stuhlfelden
RES342,poelzl-lifte-kindberg
RES343,postalm-am-wolfgangsee
RES344,praegraten-am-grossvenediger
RES345,predigstuhl-bad-goisern-am-hallstaettersee
RES346,raggal
RES347,raml-molln
RES348,raunigwiese-kolbnitz-reisseck
RES349,raxalpe-reichenau-an-der-rax
RES350,reither-kogel-reith-im-alpbachtal
RES351,rettenbach-bernstein
RES352,rettenegg
RES353,rieseralm-obdach
RES354,roggenboden
RES355,rossbachlift-nassereith
RES356,rotecklift-tobadill
RES357,salzstiegl-hirschegg
RES358,saualpe-eberstein
RES359,schattwaldzoeblen
RES360,schatzerlift-kirchberg
RES361,schleppe-alm-klagenfurt-am-woerthersee
RES362,schmiedhornlift-wald-faistenau
RES363,schmolllifte-steinhaus-am-semmering
RES364,schnee-erlebnisland-flattach
RES365,schneeerlebniswelt-seestadt-aspern-vienna
RES366,schneiderkopf-buch
RES367,schnifisberg-schnifis
RES368,schoenfeld-thomatal
RES369,schorschi-lifte-st-georgen-am-walde
RES370,schuttannen-hohenems
RES371,schwabenbergarena-turnau
RES372,schwannerlift-weerberg
RES373,schwoich
RES374,seeberg-seewiesen-turnau
RES375,serles-mieders
RES376,siebenseelift-wildalpen
RES377,silvretta-bielerhoehe-partenen
RES378,simas-lifte-st-peterst-corona
RES379,simonhoehe-st-urban
RES380,sonnberglifts-wald-am-schoberpass
RES381,sonnenberglift-gries-im-sellrain
RES382,sonnenberglift-milders
RES383,sonnenlift-praxmar
RES384,sonntag-stein
RES385,spechtenseelift-puergg-stainach-puergg
RES386,spitzeralm-sankt-lorenzen-bei-knittelfeld
RES387,st-corona-am-wechsel
RES388,st-hemma-edelschrott
RES389,st-jakob-im-walde
RES390,st-kathrein-am-offenegg
RES391,st-martin-im-tennengebirge
RES392,st-oswald-kartitsch
RES393,stadtwaldlift-rottenmann
RES394,stanzach
RES395,steinberg-am-rofan
RES396,stelzen-lohnsburg
RES397,stoaninger-alm-schoenau-im-muehlkreis
RES398,stockerfeldlift-moessna-st-nikolai-im-soelktal-soelk
RES399,stoderzinken-groebming
RES400,tauchnerfeld-stall
RES401,teichalm-fladnitz
RES402,thalgauberg-thalgau
RES403,tockneralmlift-krakauebene-krakauhintermuehlen-krakau
RES404,tonnerhuette-muehlen
RES405,tragoess-sankt-katharein
RES406,tschardund-nenzing
RES407,turmkogel-puchenstuben
RES408,unterberg-pernitz
RES409,untersberg-groedig
RES410,vals
RES411,viehberg-sandl
RES412,voegelsberg-wattens
RES413,wachtberglifts-weyregg-am-attersee
RES414,waldheimhuette-sankt-anna-am-lavantegg
RES415,waldrastlift-ehenbichl
RES416,waldskilift-wald-faistenau
RES417,weinebene-frantschach-sankt-gertraud
RES418,weissbriach-gitschtal
RES419,wenigzell
RES420,wetterstein-lifts-wettersteinbahnen-ehrwald
RES421,wiesenhofer-miesenbach-bei-birkfeld
RES422,wiesinger-buehel-wiesing
RES423,wildentallift
RES424,wildstaettlift-wattenberg
RES425,wimmerlifte-purgstall-bei-eggersdorf
RES426,wunderwiese-puchberg-am-schneeberg
RES427,zahmer-kaiser-walchsee
RES428,zederhaus
RES429,zellenberg-kukmirn
RES430,zenitzen-winklern
RES431,zinkenlifte-duerrnberg-hallein
RES432,zlaim-grundlsee
RES433,zwoelferhorn-st-gilgen
RES434,Arosa Lenzerheide
RES435,St. Moritz – Corviglia
RES436,Laax/Flims/Falera
RES437,Zermatt/Breuil-Cervinia/Valtournenche – Matterhorn
RES438, Aletsch Arena – Riederalp/Bettmeralp/Fiesch Eggishorn
RES439,Andermatt/Oberalp/Sedrun
RES440,Adelboden/Lenk – Chuenisbärgli/Silleren/Hahnenmoos/Metsch
RES441, Scuol – Motta Naluns
RES442,Titlis – Engelberg
RES443,4 Vallées – Verbier/La Tzoumaz/Nendaz/Veysonnaz/Thyon
RES444,Les Portes du Soleil – Morzine/Avoriaz/Les Gets/Châtel/Morgins/Champéry
RES445,Flumserberg
RES446,Obersaxen/Mundaun/Val Lumnezia
RES447,Jakobshorn (Davos Klosters)
RES448,Kleine Scheidegg/Männlichen – Grindelwald/Wengen
RES449,Parsenn (Davos Klosters)
RES450,Corvatsch/Furtschellas
